CODE	SUPPLIER	SUPPCODE	DESCRIPTION	RETAIL	TRADE	MLP	DISC1	DISC2	FWDDATE	FWDRETAIL	FWDTRADE	FWDMLP	FWDDISC1	FWDDISC2
FASTRACK	100999	FASTRACK	MONTROSE FASTRACK CHARGE	52.50	52.50	52.500	0.00	0.00		0.00	0.00	0.00	0.00	0.00
FTC10500	16152	MBT10L	1/2"X10MMX500MM FLEXI(PAIR FOR MONOBLOCS	9.94	7.95	2.550	0.00	0.00		0.00	0.00	0.00	0.00	0.00
GROHESPARE	100999	   	GROHE BACKPLATE	3.50	3.50	3.500	0.00	0.00		0.00	0.00	0.00	0.00	0.00
INTEREST	100999	    	INTEREST CHARGE ON OVERDUE ACCOUNT	6.83	6.83	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
KANE1YEAR	11011	1YEAR	KANE 1 YEAR CALIBRATION INC POSTAGE	120.00	120.00	84.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
KANE5YEAR	11011	KANE5	KANE 5 YEAR CALIBRATION INC POSTAGE	180.00	180.00	145.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
LUBX	100999	LUBX	JOINT LUBRICANT 2.5kg TUB	22.79	22.79	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
MATERIALS	100999	   	PLUMBING MATERIALS	93.86	72.00	12.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
MDECOILER	13010	60950051	MAINCOR PIPE DECOILER	282.14	282.14	260.440	0.00	0.00		0.00	0.00	0.00	0.00	0.00
OPB55W	18150	OPB55W	OPB55W BASIN	16.41	16.41	16.410	0.00	0.00		0.00	0.00	0.00	0.00	0.00
P9	100999	P9    	P9 PEDESTAL	38.33	38.33	38.330	0.00	0.00		0.00	0.00	0.00	0.00	0.00
PERSPEX	100999	PERSPEX	JTP PERSPEX TOUCH DISPLAY REAL PRODUCT	91.68	91.68	91.680	0.00	0.00		0.00	0.00	0.00	0.00	0.00
POWERFLUSH	20150	   	POWER FLUSH UNIT BORROWING CHARGE	35.00	35.00	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
PTF	100999	1111	PTFE CORD	24.94	19.95	1.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
RCLAIM	100999	     	REMEHA CLAIM BACK	30.00	30.00	30.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
SENSOR	100999	   	ARMITAGE SENSOR FLOW	475.00	380.00	1.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
STA12	100999	STA12	STA12 TAPS	26.33	26.33	26.330	0.00	0.00		0.00	0.00	0.00	0.00	0.00
SWATCH	100999	SWATCH	SWATCH SAMPLE(CREDIT ON RETURN)	4.17	4.17	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
T31CHR	100999	T31CHR	BURLINGTON T31CHR	62.50	47.95	62.500	50.00	0.00		0.00	0.00	0.00	0.00	0.00
T4B2	100999	   	T4B-2 REGENT TAP BASES PER PAIR	13.30	13.30	13.300	0.00	0.00		0.00	0.00	0.00	0.00	0.00
T50CHR	100999	T50CHR	T50CHR 	150.00	150.00	150.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
TESTING	13093	TESTING	MIDLAND CORROSION TESTING	250.00	250.00	250.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
TG12050	100999	TG120050	ZEHNDER TOGA 1148X500MM T3770 COLOUR	63.75	63.75	63.750	0.00	0.00		0.00	0.00	0.00	0.00	0.00
TOILETSEAT	100999	    	ISSUE WITH TOILET SEATS	141.40	141.40	141.400	0.00	0.00		0.00	0.00	0.00	0.00	0.00
TRAYCART	100999	TRAYCART	CARTRIDGE DISPLAY TRAY 680X330MM	0.01	0.01	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
TS	100999	        	MEMBRANE KIT 5 METRE	234.00	222.30	140.400	0.00	0.00		0.00	0.00	0.00	0.00	0.00
UG424	100999	UG424	U/GROUND 87.5 110MM D/SOCKET BRANCH	23.24	16.24	23.240	70.00	0.00		0.00	0.00	0.00	0.00	0.00
UG603	100999	UG603	U/GROUND 45 160mm D/SOCKET BEND	32.23	32.23	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
UG611	100999	UG611	U/GROUND 87.5 160mm D/SOCKET BEND	32.23	32.23	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
UG624	100999	UG624	U/GROUND 87.5 160mm EQUAL JUNCTION	53.94	53.94	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
UG662	100999	UG662	U/GROUND 6mtr x 160mm S/SOCKET PIPE	82.57	82.57	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
UG667	100999	UG667	U/GROUND 30 160mm D/SOCKET BEND	31.85	31.85	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
V17	100999	V17	V17 HEAD	53.00	53.00	53.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
V36	100999	V36	V36 SHOWER	109.67	109.67	109.670	0.00	0.00		0.00	0.00	0.00	0.00	0.00
W11	100999	W11   	W11 BASIN WASTE	10.00	10.00	10.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
WCL3CWHIT	100999	WCL3CWHIT	BRISTAN LEVER WCL3CWHIT	7.75	7.75	7.750	0.00	0.00		0.00	0.00	0.00	0.00	0.00
ZVOUCHER	100999	ZVOUCHER	ZEHNDER FLAT FRONT VOUCHER	41.67	41.67	41.670	0.00	0.00		0.00	0.00	0.00	0.00	0.00

